"","x"
"207","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"208","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ현 한국 페미들 그대로 보여주고 있는 화네요. 페미들 굳이 만화에서 언급도 안했는데 자기들도 '해줘'충인거 아는지 찾아와서 ㅂㄷㅂㄷ하는거까지 너무나 완벽한 화네요"
"209","사회주의 비판내용이네요. 좋습니다."
"210","'해줘' 하는게 꼭 그분들 같네요ㅋㅋ"
"211","""너 묘족이 되어라"""
"212","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"213","사회주의자 라샹족을 지지합니다"
"214","""해줘"""
"215","소비에트 마치 우리의 소비에트 연방은유럽의 동쪽으로부터 전세계로어느 곳에서나 노래하라수도와 보드카, 소련의 불곰을 우리의 소비에트 연방은유럽의 동쪽으로부터 전세계로어느 곳에서나 노래하라수도와 보드카, 소련의 불곰을 함께할 가치가 없는 민족들은우리가 잿더미로 만들어버릴 것이다공손히 경배하며 감사하여라세계에서 가장 거대한 국가에게 함께할 가치가 없는 민족들은우리가 잿더미로 만들어버릴 것이다공손히 경배하며 감사하여라세계에서 가장 거대한 국가에게 Aaaaa, aaaaa!!Aaaaa, aaaaa!!Aaaaa, aaaaa!! 우리의 소비에트 연방은유럽의 동쪽으로부터 전세계로어느 곳에서나 노래하라수도와 보드카, 소련의 불곰을 우리의 소비에트 연방은유럽의 동쪽으로부터 전세계로어느 곳에서나 노래하라수도와 보드카, 소련의 불곰을 Aaaaa, aaaaa!!Aaaaa, aaaaa!!Aaaaa, aaaaa!!"
"216","신의 탑 정주행을 하려고 얼마나 있는지 둘러봤다.아무리 내려도 끝이 없는 신의 탑 에피소드가 기대된다.아니 어디싸지 내려가...포기했다."
"217","조회순으로는 소녀의 세계한테 밀리고인기순은 참교육한테 밀리고 대단하다!"
"218","여혐만화 연중해"
"219","지금 실드댓글들은소녀의 세계를 못뛰어넘어서현타온 도태남들입니다"
"220","제발 여성 혐오를 그만해주세요.. 같은 사람으로서 할 짓인가요??????여성의 몸매 부각과 바보 같은 설정의 캐릭터 또는 표정 제발 이런 웹툰을 그리지 말고 소비하지 말아주세요 제발요 그리고 그런 캐릭터들에 대한 얼평과 몸평그만해 주세요.... 부탁드립니다...."
"221","분량 ㄷㄷ ㄷㄷ"
"222","진짜 영혼을 끌어모아 그린 이유 : 8,90년대 경제 부흥기에 태어나 본인의 능력 없이 부모의 뒤에서 보호받던 해줘 세대를 풍자하기위해사"
"223","제일 말도안되는 논리로 세상을 살아가려는 무리 혹은 집단이 있죠. 남들보다 많은 지방 수치를 가지고 있으며 무지하고 미개한 논리들로 본인들이 세상에 선두에 선 것 마냥 위대함을 외치고 있는 무리입니다. 세상에서 제일 미개한 것이 무엇인지 아십니까???노력없이 얻으려고 하는 것들 입니다."
"224","그저 해줘~"
"225","분량 미쳤다 진짜"
"226","엑스트라가 분량 반 잡아먹었....."
"227","신붕이들 잇으면 개추 ㅋㅋㅋ"
"228","아카자 페미들한테 학대당하고 잇엇네 ㅠㅠ '해줘'"
"229","자하드목 언제따냐"
"230","내용에 불편한게 있다면 그건 니가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"231","'오또케'까지 있었으면 완벽했겠는데 ㅋㅋㅋ"
"232","분량 실화냐 ㄷㄷ 하네"
"233","아..어디까지봤는지 까먹어서 정주행했는데 벌써 다봤네..하..다음주언제기다림.."
"234","하라챠 낭만 합격"
"235","'해줘!!'"
"236","줘~"
"237","""해줘"""
"238","분량도 많고 전개도 매끄러운데 ""능력도 없이 남에게 바라기만 하는 사람"" 들을 까니 별점이 내린다....?합리적 의심 가능?"
"239","지나가는 조연까지 이렇게 스토리주는건 넘 과하다생각하는데 그만큼 전개도 빠르고 분량도 많았으니 이해함"
"240","쿵쾅"
"241","타 웹툰 3화짜리 분량을 1화에 뽑은듯 근데 하라챠 이야기는 스토리 전개와 별개의 이야기인것같아 아쉽네요 번외편이나 개인 포스트에 올리셨으면 더 좋았을거같아요ㅠ"
"242","좆 ㄴ잼이다 누구도 공감 못하는 현실 풍자 개콘이 왜 폐지 됐는 가를 깨닫길 바란다"
"243","오늘 별점 뭐지? 오늘 별점이 막 낮은건 아니지만 9.8대 별점을 받을만한 화는 아닌데..."
"244","분량.. 진짜 은혜롭다...."
"245","작품 내 세계관의 소수민족에대한 윤리적문제가 스토리진행과 관련이 많아보이는데 지금 챕터 자체도 중점이 소수민족이 주가 되고 있고 네이버 전체 통 틀어서 신의탑만큼 만화로서 완벽한게 있을까"
"246","유한성이 남자라니.."
"247","잭님 설붕 요소 반박문1.쿤의 불금붕어는 생명의 불씨가 남아있을 때만 살릴수 있음. 밤은 그때 완전히 죽었음.2.눈꺼풀 하나 움직이지 않으려고 노력하는 것. 댕댕 일이 위선이라는 것을 깨닫고 그러지 않으려고 노력하는 것이 작중 나옴3.칼라반과 비슷한 목적이 생겼으므로 적으로 돌리는게 손해4.하이랭커 사이에서 선별인원이 활약하는건 진짜 어려움.그럼에도 레파브브의 총알을 이용해 바람새를 죽임.5.연이화가 인질로 잡혔기 때문에 어쩔 수 없음.6.밤은 화이트가 죽인거 모름7.안할 이유가 없음. 승리하면 전쟁의 목적(하진성 구출)을 성공할 가능성이 올라가고 둥지의 비밀도 알 수 있음. 견족 인질도 구출 가능. 관리자가 관리하는 게임이기 때문에 부정행위, 부정한 룰 불가능.까려면 작품 제대로 보고 까시죠."
"248","재밌게 잘 보고 갑니다!!"
"249","입으로는 평등을 외치지만 누구보다도 불평등을 사랑하는 '그 분들'에게 오늘의 만화를 바칩니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"250","시우 작가야 그리면서 꼴페미인 문하생들이 찔렸겠다 ㅠ 오또캐오또캐 해줘해줘 할텐데.. 고생했다~ 잘그렸네"
"251","웹툰 내용에 관한 얘기를 하자고 좀..솔까 오랜만에 복귀하셨는데 이런소리 들으시면 기분이 좋으실까..??? 페미네 뭐네 하지말고 타 웹툰 언급하지마라그리고 작가님 무리하지 마세요!!"
"252","분량 지린다 진짜 이러니까 휴재를 하지 정말 할말이 없다 그저 대단"
"253","왜 내려도내려도 끝이 없냐"
"254","분량 돌아버렸네갓시우"
"255","이것저것 다 주던 남성들도 더 이상 참지 않고 있죠 웹툰 내용이 사회풍자라기 보다도 저런걸 보고 곧바로 사회문제가 떠올랐다면 지금 사회에 문제가 있는게 아닐까요"
"256","설정붕괴 요소1. 탑 최고의 주술사인 아를렌도 자기 아들 못살리는데 베이로드폴에게 옆구리 빵꾸나서 죽은 쿤은 불금붕어 달고 살아남2. 본지 얼마안된 댕댕한테는 심장이라도 꺼내줄것마냥 발암일으키는 성격 보여줬는데 지 도와주는 아군 죽어나갈때는 눈꺼풀 하나 움직이지 않는 주인공3. 전쟁의 목적이 자기 사부 구출하는건데 정작 자기 사부 오체불만족 + 감금한 장본인 칼라반이랑 동맹(동맹하자고 물어보니까 ""어쩌죠?"" ㅋㅋ)4. 최고의 지략가라는 쿤 아게로 이그니스는 머리쓰는 장면은 없어진지 오래고 뒤에서 말만 하는 말만충5. 연 이화 뱀머리한테 당했고 당한거 알고 있음에도 불구하고 또 동맹6. 동료를 끔찍이 아끼는 주인공은 자기 동료 프린스랑 아크랩터 죽인 화이트랑 동맹7. 전쟁중에 게임8. 떡밥 회수율 종범. 많은 이들이 아직 스토리 절반도 안왔다 하는데 10년이 두배면 신생아 대학 보낼때까지 연재할거라는 소리인데 어불성설임."
"257","와 요즘 신의탑 분량 미쳤다"
"258","유한성 이름도 모르고 성별도 모르면.. 여기까지 대체 어떻게 본거지?ㅋㅋㅋㅋ 다른 의미로 대단한 걸"
"259","야스라챠가 포기했으면 밤은 제어가 성공하겠지"
"260","송이버섯 << 시진핑이 칼집"
"261","송이버섯 어디갔냐 무론리로 반박해봐 ㅋㅋㅋ파란새에 좌표 찍으러 갔냐?"
"262","분량 미쳤다진짜...ㅜㅜㅜㅜㅜㅜ"
"263","유한성 클로즈업하는게 점점 자왕난과 겹쳐보이는게자하드가의 복선같은데"
"264","ㄹㅇ ""해줘"" 라는 언어의 근본적인 의미로 이거저거 따질게 아님.. 밥달라는거랑 대한민국 전체 여성이 혜택줘 랑 같음?"
"265","호의가 계속되면 권리인줄 안다"
"266","송이버섯 <-----꼬우면 니도 군데가라고 아ㅋㅋ"
"267","그렇게 좋아라하시는 양남 보호받으면서 군생활 ㄱㄱ"
"268","한남들은 양남들한테 보호받으면서 군부심 부리는것 무엇? <U+0001F928><U+0001F928>"
"269","웹툰내용과 관련없는 댓글달기 멈춰!"
"270","유한성이 남자였군요"
"271","하은성은 또 뭐야"
"272","ㅠㅜㅠ"
"273","와 분량 미쳤다...근데 하은성(?)이 남자였어???!!!"
"274","그들은 자신들이 묘족들이 가졌던 지위와 재물을 차지할 수 있을 거라 기대했다.물론 그들 중 누구도 거대한 부유함을 조종하거나 적과 싸울 능력을 갖춘 자들은 없었다. 이 대사는 마치 본인들은 군 관련 지식 한줄 없는 채로허구한날 군캉스 군무새 한남 등 남성 군인들을 조롱하는 그 사상의 행동과 닮았네요 ㅎㅎ 그런데 능력을 갖추어 주겠다고 여성 징병을 주장하자 불같이 화를 내며 반대한다고 하죠?능력을 가진 분들을 조롱하고 질투하면서 본인들이 능력을 키울 기회는 반대하는 그들은 랴샹족처럼 몰살당하는 게 맞다고 봅니다 ㅎㅎ"
"275","송이버섯 애비도 한남아니냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"276","페미년들 기어들어와서 이악물고 노잼 ㅇㅈㄹ"
"277","약자라고 알려진 특정 집단에게 많은 지원을 해줬더니 오히려 더 내놓으라고 하고, 평등을 외치면서 열등감에 빠져 자신들보다 잘난 존재는 배척하려는 태도, 마지막에 '줘' 대사까지, 작가님의 훌륭한 현실 풍자 잘 보았습니다 역시 뛰어나신 분<U+0001F44D>"
"278","분량이 너무 적긴하다 ㅠㅠ"
"279","""그럼 멋진 제안을 하나을 하나 하지 너도 묘족이 되지 않겟나"""
"280","요즘도 지역드립치는 벌레가있네"
"281","만화에 천재는 많지만 정점은 시우 한명이다."
"282","해""줘"" 역시 네이버웹툰 정점 작가 빛시우"
"283","호의가 계속되몬 권리가 아니라 둘ㄹ 읍읍"
"284","라샹족을 보면 뭔가가 떠오른다. F의 그들."
"285","엑스트라한테 한화분량 몰아줬다기엔 분량이 너무 많음 ㅋㅋ다른 만화면 거진 2~3화 먹는데"
"286","자까님 .. 이런걸 만들려고 몇 달을 쉰거에요?? 아주 감사합니다"
"287","줘!(만화에 나온 대사일 뿐입니다 ㅎㅎ)"
"288","한남들 여혐아니라고 허버허버 실드치는데 ㅋㅋㅋ 니들 하는짓만봐도 여혐 빼박이야 ㅋㅋ"
"289","멋진 제안을 하지, 너 묘족이 되어라"
"290","2부 돌아와 줘"
"291","언냐들은 항상 돈 안되는것만큼은 그 누구보다 잘하네 ㅠㅠ 또 좌표찍고 테러 같이 '해줘' 하는거야?? ㅠㅠ"
"292","해줘하면 비추박히는데 ㅋㅋㅋㅋㅋ ㄹㅇ 웹툰 페미들 ㅈㄴ 많네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"293","밤은 비선별인원인데요"
"294","언냐들 해줘"
"295","중간에 히라챠 대사중 데미지를 대미지라고 나온거 거슬린다..ㅋㅋㅋㅋㅋ"
"296","아니 이러면, 신의탑도 여혐툰 되잖아..여초에서 좌표 찍기전에 멈춰!"
"297","너무늦게봄"
"298","와 늦었네"
"299","그냥 '해줘'"
"300","'해줘'"
"301","이걸 왜 성별갈등에 국한해서 생각하냐 ㅈㄴ 한심하다"
"302","시우:하라챠는 귀멸의 칼날 아카자를 모티브로 만든캐릭이 맞다. 고로 표절은 아니다,고로 이번화 한녀들 ㅂㄷㅂㄷ쉴드 좀 '해줘'"
"303","분량 뭐냐고..."
"304","이거 베뎃올려줘 2부 203화에 노네임구역 방송하는애 라샹족아니냐"
"305","전형적인 사회주의 사상 비판하신 느낌좌파.페미니즘,pc주의"
"306","분량 미쳤네 찬양하자"
"307","현실풍자라기보다는 인간관계에 대한 이야기 같은데"
"308","댓글 왜이럼?"
"309","해줘 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"310","'해줘'"
"311","남혐이랑 표절은 안불편한데 여혐은 불편해"
"312","대체 뭐가 여혐이고 뭐가 남혐인데"
"313","페미들아 반성해"
"314","남혐논란 표절 논란 쉴드좀 '해줘'"
"315","네이버: 트위터 패미들 (쿵쾅쿵쾅) 쉴드좀 '해줘'"
"316","또 좌표찍히겠네 공감'해줘'"
"317","라샹족=전라도네"
"318","정주행 할때: 난 1주 안기다려도 되는뎀 ㅋ정주행 다했을때: 하 ㅈㅂ 담편 ㅈㅂ ㅠㅠ"
"319","해줘"
"320","신의탑 쉬다오더니 한남웹툰 다됬네 ㅋㅋㅋ 작가님! 그래봐야 한남들 쿠키안써요!"
"321","그래도 엄청난 분량이다 진짜"
"322","자기들끼리 패드립치고 한남탓으로 돌리는거 보기 추합니다"
"323","보자마자 대표적으로 미국 원주민들 문제 생각나던데 페미 어쩌고하는 사람들은 피해망상있나...? ㅉㅉgs25문제나 무신사문제나 왜그러고사는지..정상이 아니다.성별싸움할거면 즈그들 꽃밭인 대가리 속에서나하지.자기가 이 만화의 암덩어리 같은 존재라는 걸 지들만 몰라. 작가님한테 물흐리고싶지 않으면 양심있게 하차나해라."
"324","송이버섯님.... 왜 이 만화가 여혐이라 생각하시죠?설마 능력도 없으면서 능력있는 사람에게 요구할 줄만 아는 라샹족을 한국 여성들과 겹쳐 보시는 건가요?일반적인 한국여성들은 본인의 능력을 키워 그에 맞는 보상을 바라는 정상적인 사고방식을 갖고 있답니다.한국여성들을 ""해줘""만 할 줄 아는 무능력한 사람들로 여기시는 거 같은데 송이버섯님이 여혐을 먼저 멈춰야 할 것 같네요.송이버섯! 여혐 멈춰!<U+0001F91A><U+0001F91A><U+0001F91A><U+0001F91A>"
